text,output,flag,username,timestamp
pulang hormat sisa kuota flash kb download mytelkomsel apps cek kuotabeli paket flash hubung,,,,2023-12-22 07:58:15.140479
5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,"{""label"":""SMS Promo"",""confidences"":null}",,,2023-12-22 09:19:23.576610
